course_number_title,course_description
12.770-12.771 Seminar in Chemical Oceanography at MIT,Topics in chemical oceanography taught at MIT. Content varies from term to term. 12.770 is letter-graded.
12.777 Field Oceanography,"Provides an introduction to the biogeochemistry of the ocean, and the field techniques and methods used in its study. Emphasizes biogeochemistry and the interrelated nature of elemental cycling, but also examines physical transport and air-sea gas exchange. Covers multiple aspects related to field instrumentation and measurements, including nutrients, oxygen, the carbon system, temperature, and salinity. Presents microbial analyses, such as metagenomics. Includes a mandatory spring break field trip aboard a research vessel; opportunities for funded travel available. Students work in groups to propose a project over the week-long voyage that utilizes the field time to collect samples. During the second half of the term, students analyze and synthesize the data, and present it in a publication-quality manuscript. Students taking graduate version complete additional assignments. Enrollment limited."
12.800 Fluid Dynamics of the Atmosphere and Ocean,"Introduction to fluid dynamics. Students acquire an understanding of some of the basic concepts of fluid dynamics that are needed as a foundation for advanced coursework in atmospheric science, physical oceanography, ocean engineering, climate science, etc. Emphasizes fluid fundamentals, with an atmosphere/ocean twist. Students taking graduate version complete additional assignments."
12.801 Large-scale Ocean Dynamics,"Applies fundamental principles of geophysical fluid dynamics to understand the general patterns of the ocean circulation and stratification. Includes the mid-latitude wind-driven circulation, the Southern Ocean circulation, and the global overturning circulation. Uses a combination of theory, numerical simulations, and observations to illustrate the concepts."
"12.802 Waves, Instability and Turbulence at Small Scales","Covers basic concepts of wave motion, flow instability, and turbulence in rotating and stratified fluids with emphasis on small scales. Presents wave properties, including the dispersion relation, phase and group velocities, and wave kinematics, and uses these concepts to study the dynamics of surface and internal gravity waves, Poincare waves, Kelvin waves, and topographic waves. Includes flow instability. Explores general concepts of linear instability in small-scale stratified shear flows (Rayleigh and Kelvin-Helmholtz instabilities); examines non-rotating stratified turbulence resulting from these instabilities. Also discusses wave-mean flow interaction, hydraulic control, the entrainment assumption, and the interpretation of microstructure observations."
12.803 Advanced Geophysical Fluid Dynamics,"Further development of topics covered in12.843, with a more mathematical treatment. Covers current topics of interest in rotating stratified flows of oceans and atmospheres."
12.805 Data Analysis in Physical Oceanography,"Directed at making scientifically-sensible inferences from physical oceanography data (both observations and models). Introduces linear inverse methods, including regression, singular value decomposition, objective mapping, and data assimilation. Connects these methods to time series analysis, including Fourier methods, spectra, coherence, and filtering. Focuses on working with data in a computer laboratory setting. Emphasizes how statistical information can be used to improve experimental design. Gives some attention to the instruments and algorithms used to acquire the data."
12.806[J] Atmospheric Physics and Chemistry,"Introduction to the physics and chemistry of the atmosphere including experience with computer codes. Aerosols and theories of their formation, evolution, and removal. Gas and aerosol transport from urban to continental scales. Coupled models of radiation, transport, and chemistry. Solution of inverse problems to deduce emissions and removal rates. Emissions control technology and costs. Applications to air pollution and climate."
12.807[J] Atmospheric Chemistry,See description under subject1.84[J].
12.808 Introduction to Observational Physical Oceanography,"Results and techniques of observations of the ocean in the context of its physical properties and dynamical constraints. Emphasis on large-scale steady circulation and the time-dependent processes that contribute to it. Includes the physical setting of the ocean, atmospheric forcing, application of conservation laws, description of wind-driven and thermohaline circulation, eddy processes, and interpretive techniques."
12.809 Hydraulic Phenomena in Geophysical Fluid Flows,"Examination of the hydraulics of nonrotating flows (Long's experiments, hydraulic control, upstream influence, nonlinear wave steepening, hydraulic jump and bores, application to severe downslope winds). Other topics may include: nonrotating stratified flows (two-layer hydraulics, virtual and approach controls, maximal and submaximal flow, application to the Strait of Gibraltar and the Bab al Mandab); and deep ocean straits and sills (steady theories for rotating channel flow, nonlinear Kelvin and frontal waves, rotating hydraulic jumps, geostrophic adjustment in a rotating channel, and applications to the Denmark Strait and other deep passages)."
12.810 Dynamics of the Atmosphere,"Discusses the dynamics of the atmosphere, with emphasis on the large scale. Topics include internal gravity waves in the atmosphere; potential vorticity conservation and Rossby waves; baroclinic instability and extratropical storms; the tropical Hadley and Walker circulations and equatorial waves; and the general circulation, annular modes, and the response to climate change."
12.811 Tropical Meteorology,A description of the large-scale circulation systems of the tropical atmosphere and analysis of the dynamics of such systems. Topics include: Radiative-convective equilibrium; the Hadley and walker circulation; monsoons; tropical boundary layers; theory of the response of the tropical atmosphere to localized sea-surface temperature anomalies; intraseasonal oscillations; equatorial waves; El Niño/Southern Oscillation; easterly waves; and tropical cyclones.
12.812 The General Circulation of the Atmosphere and Climate Change,Describes the general circulation of Earth's atmosphere and its maintenance. Second half of the course explores the response of the general circulation to climate change.
12.814[J] Aerosol and Cloud Microphysics and Chemistry,"Focuses on understanding how aerosol particles form droplets or ice crystals during several atmospheric processes: determining Earth's radiative balance; heterogeneous chemistry and acid rain; understanding where, when and how much precipitation occurs. Provides tools for understanding the physics of aerosol and cloud element motion; the interaction of particles with water vapor, including phase changes and droplet and ice nucleation; the chemical composition of particles and the effect on cloud formation processes; and the effect of cloud processing on aerosol chemistry. Discusses relevant topics of contemporary interest, e.g., geoengineering and weather modification and volcanic effects. Students taking the graduate version complete different assignments."
12.815 Atmospheric Radiation and Convection,"Introduction to the physics of atmospheric radiation, remote sensing, and convection, including use of computer codes. Radiative transfer equation including emission and scattering, spectroscopy, Mie theory, and numerical solutions. Physics of dry and moist convection, including moist thermodynamics. Radiative-convective equilibrium. Solution of inverse problems in remote sensing of atmospheric temperature and composition. Students taking graduate version complete additional assignments."
12.817[J] Atmospheric Composition and Global Change,See description under subject1.841[J].
12.818 Introduction to Atmospheric Data and Large-scale Dynamics,"Provides a general introduction to meteorological data and analysis techniques, and their use in the MIT Synoptic Laboratory to study the phenomenology and dynamics of large-scale atmospheric flow. Illustrates balance concepts as applied to the dynamics of frontal and synoptic scales, using real-time upper-air and surface station data and gridded analyzed fields. Uses advanced meteorological software packages to access, manipulate, and graphically display the data. Students taking graduate version complete different assignments."
12.820 Turbulence in the Ocean and Atmosphere,"Covers phenomena, theory and modeling of turbulence in the Earth's oceans and atmosphere. The scope will range from centimeter- to planetary-scale motions. Includes homogeneous isotropic three- and two-dimensional turbulence, convection, stratified turbulence, quasi-gesotrophic turbulence, baroclinic turbulence, and macroturbulence in the ocean and atmosphere."
12.823 Modeling the Biology and Physics of the Ocean,"Principles and examples of the construction of physical/ biological models for oceanic systems. Individual-based and continuum representations. Food webs and structured population models. Fluid transport, stirring, and mixing. Effects of rotation and stratification. Advection, diffusion, reaction dynamics. Oceanic examples of physical-biological dynamics: surface mixed layer, upwelling regimes, mesoscale eddies, and oceanic gyres."
12.824 Stability Theory for Oceanic & Atmospheric Flows,"Basic theory of hydrodynamic instability with special application to flows of interest in oceanography and meteorology. Topics covered include general formulation of stability theory; concept of normal modes and linearization; fundamental stability theorems; baroclinic instability: Charney model, Eady model and the Phillips two-layer model; energy transformations; initial value theory and non-modal instability; barotropic instability for jets and shear layers; radiating instabilities; initial value problems applied to the concepts of convective, absolute and spatial instabilities; finite amplitude theory; stability of non-parallel flows."
12.830 Topics in Waves and Instability,"A detailed presentation of selected advanced topics in waves and instability in the atmosphere. The precise selection varies from year to year. Topics have included wave-mean flow interaction, the quasi-biennial oscillation, sudden warmings, critical-level behavior, wave overreflection, nonlinear equilibration, wave breaking, tropical waves, and stationary waves."
12.834[J] Land-Atmosphere Interactions,See description under subject1.713[J].
12.835 Experimental Atmospheric Chemistry,"Introduces the atmospheric chemistry involved in climate change, air pollution, and ozone depletion using a combination of interactive laboratory and field studies and simple computer models. Uses instruments for trace gas and aerosol measurements and methods for inferring fundamental information from these measurements. Students taking the graduate version complete different assignments."
12.842 Climate Science,"Introduction to climate studies, including beginnings of the solar system, time scales, and climate in human history; methods for detecting climate change, including proxies, ice cores, instrumental records, and time series analysis; physical and chemical processes in climate, including primordial atmosphere, ozone chemistry, carbon and oxygen cycles, and heat and water budgets; internal feedback mechanisms, including ice, aerosols, water vapor, clouds, and ocean circulation; climate forcing, including orbital variations, volcanism, plate tectonics, and solar variability; climate models and mechanisms of variability, including energy balance, coupled models, and global ocean and atmosphere models; and outstanding problems. Students taking the graduate version complete different assignments."
12.843 Large-scale Atmosphere and Ocean Dynamics,"Project-based with lectures covering the relevant theory. Students work in groups on four projects. Each of these comprises a numerical part, to illuminate and illustrate the theory, and a data part (drawn from laboratory tank experiments, atmospheric, or ocean observations), to illustrate the phenomena. Topics include: barotropic vorticity dynamics including inversion and evolution, geostrophic and higher order balance, baroclinic dynamics and the evolution of balanced flows, and stability with emphasis on the mutual interaction of disturbances. Projects include a verbal presentation and writeup covering both the numerical and geophysical parts plus additional derivations as needed."
12.845[J] Sustainability Science and Engineering,See description under subjectIDS.526[J].
12.846[J] Global Environmental Negotiations,See description under subjectIDS.525[J].
12.849 Mechanisms and Models of the Global Carbon Cycle,"Addresses changes in the ocean, terrestrial biosphere and rocks modulation of atmospheric carbon dioxide on timescales from months to millions of years. Includes feedbacks between carbon cycle and climate. Combines hands-on data analysis with the formulation of simple models rooted in basic physical, chemical and biological principles. Students create individual ""toy"" global carbon cycle models. Students taking graduate version complete different assignments."
12.850 Computational Ocean Modeling,"Numerical modeling in oceanography and environmental fluid mechanics. Focuses on the building of computational models that describe processes such as transport (advection, diffusion), reaction (ecosystems), and boundary forcing, of relevance in the ocean. Models are developed in a hierarchical manner, starting from the simple (zero-dimensional in space), and incrementally advancing toward more complex, time-evolving systems in one-, two- (shallow water) and three-dimensions (Primitive equations). Students build their own models using the finite volume approach with an appreciation and understanding of the working of general circulation models"
12.853 Advanced geophysical fluid dynamics,"Follow-on to12.843, with a more mathematical treatment and extension of material to current topics of interest involving rotating, stratified flows of oceans and atmospheres."
12.860 Climate Variability and Diagnostics,"Explores climate variability and change, focusing on the atmosphere and ocean, while building experience applying diagnostic analyses to a range of modern observations and models. Provides practical insight, from regional to global scale, with applications to past and future climates. Emphasizes salient features of the mean climate system and modes of natural variability, as well as observed and projected manifestations of anthropogenic climate change. Students gain experience accessing, analyzing, and visualizing a wide range of gridded observational-based datasets, as well as output from global climate model simulations. Develops the tools necessary to apply climate diagnostic analysis to one's own research, as well as the interdisciplinary edge to critically assess and interpret the observational and model results underpinning the Fifth Assessment Reports of the Intergovernmental Panel on Climate Change."
12.862 Coastal Physical Oceanography,"Introduction to the dynamics of flow over the continental shelf, nearshore, and estuaries, emphasizing both theory and observations. Content varies somewhat according to student and staff interests. Possible topics include fronts, buoyant plumes, surface and bottom boundary layers, wind-driven upwelling, coastal-trapped waves, internal waves, quasi-steady flows, high-latitude shelf processes, tides, and shelf-open ocean interactions."
12.863 Advanced Topics in Coastal Physical Oceanography,"More specialized topics in the dynamics of flow over the continental shelf, including coastal-trapped waves, wind-driving, and mean flows. Emphasis on the relationship between theory and observations. Instrumentation and the application of statistical techniques also covered."
12.866 Theory of the General Circulation of the Ocean,"A review of wind-driven circulation, and the development of the baroclinic theory of the wind-driven circulation. Potential vorticity homohenization and the ventilated thermocline. Wind-driven circulation with continuous stratification, subduction/obduction. Equatorial thermocline and its relation to ENSO. Decadal climate variability. Thermohaline circulation and variability. Abyssal circulation. Mixing and energetics of the oceanic general circulation."
12.870 Air-Sea Interaction: Boundary Layers,"Addresses the interaction of the atmosphere and ocean on temporal scales from seconds to days and spatial scales from centimeters to kilometers. Topics include the generation, propagation, and decay of surface waves; the processes by which mass, heat, momentum, and energy are transported vertically within the coupled atmospheric and oceanic boundary layers and across the air-sea interface; and the statistical tools, mathematical models, and observational methods that are used to quantify these processes."
12.884[J] Dimensions of Geoengineering,See description under subject5.000[J]. Limited to 100.
"12.885[J] Science, Politics, and Environmental Policy","Examines the role of science in US and international environmental policymaking. Surveys the methods by which scientists learn about the natural world; the treatment of science by experts, advocates, the media, and the public and the way science is used in legislative, administrative and judicial decision making. Through lectures, group discussions, and written essays, students develop a critical understanding of the role of science in environmental policy. Potential case studies include fisheries management, ozone depletion, global warming, smog, and endangered species. Students taking the graduate version complete different assignments."
12.900 EAPS First Year Graduate Seminar,"Provides a shared experience for first-year graduate students in EAPS and the MIT/ WHOI Joint Program. Facilitates opportunities to interact with senior graduate students and to meet a wide range of faculty.  Familiarizes students with departmental research within the themes of Earth, planets, climate, and life.  Discusses resources, graduate life at MIT, and the path to PhD."
"12.901 Proposals, Papers and Pathways","This seminar builds skills for writing scientific proposals and papers, and facilitates investigation of career pathways. Topics covered include scientific writing and graphics, peer review, proposal writing for grants and fellowships, and exploration of academic and non-academic careers."
12.910 Communicating Ocean Science,"For students interested in improving their ability to teach science, the focus is on inquiry-based instructional methods and application to various audiences. Includes an opportunity to teach in a course at a local state university and in a supervised elementary school classroom. Class meets twice a week for 11 sessions, and episodically thereafter. The undergraduate lesson is arranged in consultation with Bridgewater State University faculty. Outreach in local school classrooms involves one session observing and three sessions teaching."
"12.950, 12.951 Seminar in Physical Oceanography at MIT",Topics in physical and dynamical oceanography. Content varying from term to term. 12.950 is letter-graded.
"12.970, 12.971 Current Research in Earth, Atmospheric and Planetary Sciences","Original investigations, laboratory work, or field work on Earth, atmospheric, or planetary issues. 12.970 is letter-graded."
"12.980, 12.981 Current Research in Joint Program at MIT",Original investigations on problems in oceanography. 12.980 is letter-graded.
"12.982, 12.983 Current Research in Joint Program at WHOI","Original investigations, laboratory work, or fieldwork in oceanography. 12.982 is letter-graded."
"12.S488, 12.S489 Special Seminar in Structural Geology",Organized lecture or laboratory subject on an aspect of structural geology not normally covered in regularly scheduled subjects. 12.S488 is letter-graded.
"12.S490, 12.S491 Special Seminar in Geology and Geochemistry",Organized lecture or laboratory subject on an aspect of geology or geochemistry not normally covered in regularly scheduled subjects. 12.490 is letter-graded.
"12.S492, 12.S493 Special Seminar in Geobiology",Organized lecture or laboratory subject on an aspect of geobiology not normally covered in regularly scheduled subjects. 12.492 is letter-graded.
"12.S501 Special Seminar in Earth, Atmospheric, and Planetary Sciences (New)","Organized lecture or laboratory subject on an aspect of the earth sciences, planetary sciences, or astronomy not normally covered in regularly scheduled subjects. 12.592 is letter-graded."
12.S590 Special Seminar in Geophysics,Organized lecture or laboratory subject on an aspect of geophysics not normally covered in regularly scheduled subjects.
12.S591 Special Seminar in Geophysics,Organized lecture or laboratory subject on an aspect of geophysics not normally covered in regularly scheduled subjects.12.S590is letter-graded.
"12.S592 Special Seminar in Earth, Atmospheric and Planetary Sciences","Organized lecture or laboratory subject on an aspect of the earth sciences, planetary sciences, or astronomy not normally covered in regularly scheduled subjects."
"12.S593 Special Seminar in Earth, Atmospheric and Planetary Sciences","Organized lecture or laboratory subject on an aspect of the earth sciences, planetary sciences, or astronomy not normally covered in regularly scheduled subjects. 12.592 is letter-graded."
"12.S594 Special Seminar in Earth, Atmospheric and Planetary Sciences","Organized lecture or laboratory subject on an aspect of the earth sciences, planetary sciences, or astronomy not normally covered in regularly scheduled subjects."
12.S595 Special Seminar in Geophysics,Organized lecture or laboratory subject on an aspect of geophysics not normally covered in regularly scheduled subjects.12.S590is letter-graded.
"12.S596 Special Seminar in Earth, Atmospheric, and Planetary Sciences","Organized lecture or laboratory subject on an aspect of the earth sciences, planetary sciences, or astronomy not normally covered in regularly scheduled subjects."
"12.S597 Special Seminar in Earth, Atmospheric and Planetary Sciences","Organized lecture or laboratory subject on an aspect of the earth sciences, planetary sciences, or astronomy not normally covered in regularly scheduled subjects. 12.592 is letter-graded."
"12.S680, 12.S681 Special Seminar in Planetary Science",Organized lecture or laboratory subject on an aspect of planetary science not normally covered in regularly scheduled subjects. 12.S680 is letter-graded.
"12.S990, 12.S991 Special Subject in Atmospheric Science",Organized lecture or laboratory subject on an aspect of atmospheric science not normally covered in regularly scheduled subjects. 12.S990 is letter-graded.
"12.S992, 12.S993 Special Subject in Climate Science",Organized lecture or laboratory subject on an aspect of climate not normally covered in the regularly scheduled subjects. 12.S992 is letter-graded.
